date,product,region,customer_id,customer_type,salesperson,quantity,price,discount,revenue
2023-01-01,Product A,North,CUST3477,new,Robert Wilson,2,108.20556582282252,0.05797261570972248,203.8652122754459
2023-01-01,Product D,North,CUST3836,returning,Mike Brown,1,76.33892613321407,0.017187651213592427,75.02683929681619
2023-01-01,Product C,North,CUST1727,returning,Sarah Johnson,1,505.047951504032,0.06692002629380785,471.2501293097484
2023-01-01,Product C,West,CUST3172,returning,Emily Davis,1,585.761592137577,0.07055627116496911,544.4324384046942
2023-01-01,Product A,North,CUST1779,returning,Robert Wilson,2,96.27887638537057,0.0254391580841847,187.65924565767088
2023-01-01,Product B,North,CUST2191,returning,John Smith,1,254.5616789315935,0.06259396701015728,238.62765359849908
2023-01-01,Product A,North,CUST4350,returning,John Smith,1,95.97474993578764,0.012300329512374565,94.7942288867097
2023-01-01,Product C,South,CUST2326,new,Mike Brown,3,439.76281218748056,0.05702869387313905,1244.05114018335
2023-01-01,Product C,North,CUST1823,returning,John Smith,1,447.501294258494,0.03748705795237041,430.7257873068651
2023-01-01,Product B,Central,CUST1273,returning,Emily Davis,2,235.1542260049698,0.06439565794476136,440.0226298057773
2023-01-01,Product A,North,CUST1843,returning,Robert Wilson,2,111.43701104835652,0.0022066148682290845,222.38222496581244
2023-01-01,Product A,North,CUST4747,returning,John Smith,4,80.2266325811827,0.07689227821076411,296.2312961153506
2023-01-01,Product D,South,CUST2709,returning,Sarah Johnson,1,62.475256033212645,0.007857849715502074,61.98433486036615
2023-01-01,Product B,Central,CUST4384,returning,Mike Brown,1,221.9273961923876,0.06034930960433787,208.53423104988866
2023-01-01,Product A,Central,CUST2460,returning,Mike Brown,4,83.0143624140985,0.08129010091300776,305.0644660649097
2023-01-01,Product C,West,CUST4996,new,Mike Brown,1,458.2288495570358,0.03980052929545028,439.9910988062205
2023-01-01,Product D,Central,CUST2423,new,Mike Brown,2,78.43457332534895,0.029582409749653607,152.22857927739844
2023-01-01,Product A,West,CUST4517,new,Mike Brown,2,89.01331190850114,0.024595772838450814,173.64792141840294
2023-01-01,Product A,East,CUST2064,new,Mike Brown,4,116.72956346701748,0.0027519185140415293,465.63333288070646
2023-01-01,Product A,South,CUST1145,new,Emily Davis,2,84.41896452525579,0.029700287645488224,163.82339399224284
2023-01-01,Product C,East,CUST2252,new,John Smith,4,514.8946226359824,0.0781514481751415,1898.6194488775495
2023-01-01,Product A,Central,CUST4110,new,Mike Brown,3,115.98298293098273,0.0531857479688174,329.44302369643145
2023-01-01,Product C,South,CUST4269,returning,Mike Brown,1,434.4178458590519,0.09329248625696722,393.889924944465
2023-01-01,Product A,East,CUST3606,returning,Sarah Johnson,3,97.3106751839705,0.0677540945503534,272.1524354903911
2023-01-01,Product C,East,CUST1759,returning,Robert Wilson,3,534.2958297334413,0.011619095652544598,1584.2633861430386
2023-01-01,Product B,Central,CUST1607,new,Robert Wilson,3,203.11490927933912,0.02640043499594659,593.257761960607
2023-01-01,Product B,Central,CUST3915,returning,Mike Brown,1,282.591770731603,0.06946409588937279,262.96178887195526
2023-01-01,Product A,Central,CUST1081,returning,Emily Davis,1,81.06128815495279,0.0876444075875294,73.95671957632995
2023-01-01,Product A,South,CUST2098,returning,Sarah Johnson,1,85.67887959043976,0.07396713007267637,79.34145875929252
2023-01-01,Product A,West,CUST3079,returning,John Smith,2,89.49933220677536,0.056439538033898964,168.896062485365
2023-01-01,Product B,South,CUST2948,returning,John Smith,2,254.0905003838081,0.041186474041749604,487.25081717099044
2023-01-01,Product A,East,CUST1648,returning,Mike Brown,4,97.08431154505026,0.035256885633416904,374.6456843044296
